date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:20	95914/95914	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Nov%202022%2010:21:54%20GMT	https://www.desiiptv.net/	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/index.html	(from )
21:18:20	38/38	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20Mar%202022%2004:21:47%20GMT	https://www.desiiptv.net/robots.txt		(from )
21:18:20	60406/60406	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Oct%202020%2010:48:01%20GMT	https://www.desiiptv.net/img/request-bc.jpg	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/request-bc.jpg	(from https://www.desiiptv.net/)
21:18:21	3609/3609	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Oct%202020%2010:47:09%20GMT	https://www.desiiptv.net/img/favicon.png	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/favicon.png	(from https://www.desiiptv.net/)
21:18:21	7521/7521	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202022%2013:09:59%20GMT	https://www.desiiptv.net/css/new-pages.css	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/css/new-pages.css	(from https://www.desiiptv.net/)
21:18:21	363564/363564	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Oct%202022%2006:56:53%20GMT	https://www.desiiptv.net/css/custom-mini.css	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/css/custom-mini.css	(from https://www.desiiptv.net/)
21:18:21	14787/14787	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Nov%202022%2002:18:22%20GMT	https://www.desiiptv.net/css/style3.css	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/css/style3.css	(from https://www.desiiptv.net/)
21:18:21	3682/3682	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Mar%202022%2004:25:38%20GMT	https://www.desiiptv.net/css/mobile-menu.css?v=1.1	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/css/mobile-menuf9e3.css	(from https://www.desiiptv.net/)
21:18:22	2033/2033	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Nov%202020%2010:03:52%20GMT	https://www.desiiptv.net/img/captcha-btn.png	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/captcha-btn.png	(from https://www.desiiptv.net/)
21:18:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2020%20Nov%202022%2002:18:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.googletagmanager.com/gtm.75445.delayed	(from https://www.desiiptv.net/)
21:18:22	44366/44366	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2010:57:34%20GMT	https://www.desiiptv.net/buy.html	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/buy.html	(from https://www.desiiptv.net/)
21:18:23	475921/475921	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2010:10:56%20GMT	https://www.desiiptv.net/img/Black-Friday-sale.jpg	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/Black-Friday-sale.jpg	(from https://www.desiiptv.net/)
21:18:23	121221/121221	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:47:04%20GMT	https://www.desiiptv.net/img/tashan-iptv.jpg	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/tashan-iptv.jpg	(from https://www.desiiptv.net/)
21:18:23	301075/301075	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2010:10:55%20GMT	https://www.desiiptv.net/img/Black-Friday-sale-mob.jpg	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/Black-Friday-sale-mob.jpg	(from https://www.desiiptv.net/)
21:18:23	76742/76742	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:44:48%20GMT	https://www.desiiptv.net/img/mobile-slider/tashan-iptv.jpg	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/img/mobile-slider/tashan-iptv.jpg	(from https://www.desiiptv.net/)
21:18:23	121297/121297	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2010:47:09%20GMT	https://www.desiiptv.net/set-top-box.html	C:/Users/Neha/Desktop/website/https___www.desiiptv.net_/www.desiiptv.net/set-top-box.html	(from https://www.desiiptv.net/)
